CPU:
N            Time1       Time2       Time3
2            1e-06       1e-06       2e-06
4            1e-06       2e-06       2e-06
8            3e-06       2e-06       2e-06
16           3e-06       3e-06       4e-06
32           8e-06       7e-06       7e-06
64           1.9e-05     2.2e-05     2.1e-05
128          0.000105    8.2e-05     6.8e-05
256          0.000281    0.000235    0.000237
512          0.000894    0.000848    0.000848
1024         0.003152    0.003177    0.003204
2048         0.012514    0.012566    0.012473
4096         0.053377    0.053778    0.053673
8192         0.25175     0.252643    0.251596
16384        1.14409     1.14356     1.14078
32768        4.86105     4.86254     4.86399
65536        20.2512     20.2415     20.2577
131072       83.0369     83.1161     83.1233
GPU:
N            Time1       Time2       Time3
2            0.057244    0.000603    0.000603
4            0.00066     0.000672    0.00068
8            0.000797    0.000803    0.000798
16           0.001041    0.001044    0.001051
32           0.001512    0.001424    0.001424
64           0.002335    0.00233     0.002326
128          0.004164    0.004183    0.00418
256          0.00783     0.007823    0.007822
512          0.015337    0.01537     0.01535
1024         0.030781    0.030888    0.030949
2048         0.062373    0.062143    0.062205
4096         0.126013    0.125975    0.126324
8192         0.255572    0.25552     0.255696
16384        0.526794    0.519356    0.519172
32768        1.06806     1.00689     1.00526
65536        2.33396     2.32828     2.32841
131072       6.08528     6.0879      6.09131
