N         Time1         Time2       Time3
     2        2e-06        2e-06        2e-06
     4        2e-06        1e-06        2e-06
     8        3e-06        2e-06        2e-06
    16        2e-05        2e-06        2e-06
    32        6e-06      1.9e-05      2.1e-05
    64      2.1e-05        2e-05      1.9e-05
   128      9.5e-05      7.9e-05      6.5e-05
   256      0.00023     0.000215     0.000221
   512     0.000812     0.000826     0.000835
  1024     0.003036     0.003034     0.003072
  2048     0.011849     0.011414     0.011220
  4096     0.050121     0.049833     0.049526
  8192     0.246187     0.246981     0.246672
 16384     1.104490     1.111950     1.118400
 32768     4.715060     4.712280     4.746010
 65536    19.569600    19.606000    19.619100
131072    83.036900    83.116100    83.123300
