N           Time1        Time2        Time3
      2        3e-06      1.8e-05        1e-06
      4        2e-06      1.7e-05        2e-06
      8        2e-06        2e-06      1.5e-05
     16        4e-06        4e-06        5e-06
     32      2.2e-05        6e-06        6e-06
     64      2.6e-05      1.1e-05      2.5e-05
    128      4.1e-05      3.7e-05      3.7e-05
    256      6.6e-05      6.6e-05        5e-05
    512     0.000126     0.000131      0.00012
   1024     0.000267     0.000263     0.000273
   2048     0.000585     0.000576     0.000583
   4096     0.001271     0.001284     0.001268
   8192     0.002768     0.002764     0.002792
  16384     0.005908     0.005520     0.005429
  32768     0.011763     0.011668     0.011603
  65536     0.024622     0.025111     0.025155
 131072     0.053309     0.052946     0.052943
 262144     0.113118     0.112153     0.113690
 524288     0.236008     0.236645     0.237462
1048576     0.515007     0.498812     0.498667
