N          Time1        Time2        Time3
     2     0.058873     0.000688     0.000686
     4     0.000783     0.000783     0.000743
     8     0.000909     0.000905     0.000898
    16     0.001229     0.001193     0.001206
    32     0.001768     0.001784     0.001388
    64     0.002343     0.002286     0.002307
   128     0.004188     0.004102     0.004207
   256     0.007896     0.007927     0.007834
   512     0.015202     0.015232     0.015223
  1024     0.030685     0.030746     0.030602
  2048     0.062144     0.061682     0.061839
  4096     0.125046     0.125299     0.125089
  8192     0.254650     0.254290     0.253483
 16384     0.527156     0.524305     0.521602
 32768     1.062670     1.003710     1.002440
 65536     2.357570     2.350200     2.348180
131072     6.085280     6.087900     6.091310
