N           Time1        Time2        Time3
      2     0.064100     0.000500     0.000499
      4     0.000562     0.000539     0.000504
      8     0.000566     0.000509     0.000513
     16     0.000582     0.000533     0.000572
     32     0.000658     0.000608     0.000608
     64     0.000913     0.000874     0.000807
    128     0.001216     0.001283     0.001376
    256     0.001708     0.001882     0.001524
    512     0.002508     0.002304     0.002655
   1024     0.003550     0.003886     0.004721
   2048     0.007340     0.009466     0.006943
   4096     0.012505     0.017194     0.011700
   8192     0.021236     0.024641     0.023384
  16384     0.036863     0.054128     0.042480
  32768     0.097180     0.060684     0.088445
  65536     0.164778     0.188296     0.134376
 131072     0.254523     1.064770     0.391670
 262144     2.038400     1.521510     0.902341
 524288     1.983840     4.567120     1.964410
1048576    14.262500     7.465550    12.941900
