        N        Time1        Time2         Time3
      256        1e-06        1e-06        1e-06
      512      1.7e-05        1e-06        2e-06
     1024        2e-06        2e-06        2e-06
     2048        3e-06        3e-06      1.7e-05
     4096        5e-06        4e-06        5e-06
     8192        9e-06        9e-06        9e-06
    16384      1.8e-05      1.7e-05      1.7e-05
    32768      3.3e-05      4.6e-05      3.3e-05
    65536      7.1e-05      7.1e-05      7.1e-05
   131072     0.000142     0.000143     0.000142
   262144     0.000286     0.000284     0.000283
   524288     0.000559     0.000532     0.000527
  1048576     0.001163     0.001142     0.001151
  2097152     0.002417     0.002354     0.002350
  4194304     0.004758     0.004843     0.004733
  8388608     0.009491     0.009605     0.009665
 16777216     0.019017     0.019326     0.019348
 33554432     0.038119     0.038327     0.038573
 67108864     0.077164     0.076971     0.077040
134217728     0.153913     0.153270     0.153367
268435456     0.306564     0.309114     0.306612
536870912     0.614487     0.615426     0.614708
