        N        Time1        Time2         Time3
      256     0.055382     0.000203     0.000208
      512     0.000184     0.000203     0.000204
     1024     0.000200     0.000200     0.000199
     2048     0.000202     0.000184     0.000182
     4096     0.000166     0.000155     0.000156
     8192     0.000231     0.000149     0.000147
    16384     0.000161     0.000160     0.000179
    32768     0.000196     0.000180     0.000174
    65536     0.000231     0.000221     0.000220
   131072     0.000325     0.000329     0.000305
   262144     0.000634     0.000626     0.000629
   524288     0.001025     0.001019     0.001038
  1048576     0.001774     0.001744     0.001770
  2097152     0.003340     0.003301     0.003262
  4194304     0.006390     0.006367     0.006392
  8388608     0.012403     0.012343     0.012417
 16777216     0.021943     0.022332     0.022116
 33554432     0.040394     0.040898     0.040242
 67108864     0.076952     0.074762     0.072239
134217728     0.132258     0.131437     0.131514
268435456     0.288641     0.270241     0.258923
536870912     0.515918     0.517701     0.517307
