       N      Time1     Time2     Time3  
      64   0.164994  0.002748  0.002540
     128   0.002540  0.002466  0.002361
     256   0.002600  0.002396  0.002447
     512   0.002504  0.002365  0.002380
    1024   0.002358  0.002475  0.002409
    2048   0.002498  0.002500  0.002414
    4096   0.002488  0.002458  0.002495
    8192   0.002527  0.002454  0.002427  
   16384   0.002487  0.002448  0.002470
   32768   0.002520  0.002385  0.002496
   65536   0.002765  0.002534  0.002577
  131072   0.003359  0.002695  0.002650
  262144   0.004410  0.002966  0.002944
  524288   0.006695  0.004504  0.004483
 1048576   0.009494  0.009378  0.009378
 2097152   0.017007  0.017253  0.017302
 4194304   0.032177  0.032058  0.031927 
 8388608   0.061105  0.061174  0.066771
16777216   0.119367  0.119701  0.119522
33554432   0.234918  0.233657  0.231074
67108864   0.464906  0.460783  0.461675
