       N      Time1     Time2     Time3
      64      2e-06     1e-06     1e-06
     128      1e-06     1e-06     1e-06 
     256      2e-06     2e-06     2e-06
     512      4e-06     5e-06     4e-06
    1024      9e-06     8e-06     9e-06
    2048    1.8e-05   1.7e-05   1.7e-05
    4096    3.3e-05   3.3e-05   3.3e-05
    8192    6.6e-05   6.6e-05   6.5e-05
   16384   0.000133  0.000132  0.000137
   32768   0.000281  0.000270  0.000282
   65536   0.000570  0.000572  0.000535
  131072   0.001144  0.001141  0.001131
  262144   0.002275  0.002195  0.002223
  524288   0.004726  0.004669  0.004695
 1048576   0.009198  0.008957  0.009194
 2097152   0.018535  0.018044  0.018202
 4194304   0.035498  0.035419  0.035395
 8388608   0.071511  0.069997  0.070812
16777216   0.143298  0.141777  0.142613
33554432   0.286227  0.286585  0.284476
67108864   0.572891  0.585602  0.572626
