Max number of threads is 16

n = 1000
Threads   Time_1    Time_2    Time_3
 1        0.3015    0.3045    0.2985
 2        0.2002    0.2104    0.2054
 4        0.0905    0.0898    0.0804
 6        0.0574    0.0626    0.0594
 8        0.0600    0.0529    0.0607
10        0.0491    0.0493    0.0490
12        0.0409    0.0418    0.0416
14        0.0362    0.0363    0.0362
16        0.0462    0.0341    0.0337

n = 2000
 1        1.1851    1.1987    1.1629
 2        0.6525    0.6546    0.6570
 4        0.3340    0.3065    0.3337
 6        0.2503    0.2245    0.2245
 8        0.2208    0.2375    0.2265
10        0.1914    0.1956    0.1932
12        0.1623    0.1646    0.1635
14        0.1399    0.1421    0.1406
16        0.1328    0.1304    0.1266

n = 5000
 1        6.3410    6.4369    6.1912
 2        3.2573    3.2783    3.2837
 4        1.6806    1.6653    1.6879
 6        1.2547    1.2564    1.2512
 8        1.0959    1.0707    1.1474
10        0.9692    0.9841    0.9818
12        0.8427    0.8476    0.8548
14        0.7362    0.7545    0.7487
16        0.7296    0.6904    0.6694

n = 7500
 1       14.2994   14.4509   13.8922
 2        7.2590    7.3007    7.2515
 4        3.8317    3.7991    3.8594
 6        2.7494    2.7472    2.7703
 8        2.3976    2.4382    2.4551
10        2.1236    2.1317    2.1656
12        1.8766    1.8795    1.9139
14        1.6584    1.7096    1.6784
16        1.4960    1.7213    1.5088

n = 10000
 1       25.4733   25.6224   24.6396
 2       12.8811   12.9290   12.8789
 4        6.6831    6.8082    6.6191
 6        4.8541    4.9594    4.8428
 8        4.0811    4.0970    4.1922
10        3.6275    3.7967    3.7693
12        3.2184    3.3863    3.3735
14        2.9335    3.0013    2.9623
16        2.6766    2.7106    2.6725
